"","lon","lat"
"374",-0.80657,53.0700391
"375",28.3228165,-15.3875259
"376",-77.5483954,37.532638
"377",-0.1277583,51.5073509
"380",-95.712891,37.09024
"381",-79.0192997,35.7595731
"382",-1.1743197,52.3555177
"383",-111.9151723,41.6444191
"384",-117.0783738,32.7007467
"386",-77.1945247,41.2033216
"387",-73.8298257,42.6238578
"390",-94.1185366,36.3320196
"392",-95.712891,37.09024
"393",-122.5530807,45.5337266
"394",-72.3248132,43.5231271
"395",-106.346771,56.130366
"396",-73.9441579,40.6781784
"397",-105.0865473,40.573436
"398",144.3617186,-38.1499181
"399",133.775136,-25.274398
"400",144.7851531,-37.4713077
"401",-3.8684751,57.586422
"402",-97.7430608,30.267153
"403",-122.9297411,47.0245027
"404",-121.278246,38.638639
"405",-70.6692655,-33.4488897
"406",-111.7733902,32.9110027
"407",-75.1441926,39.7662167
"408",-122.3320708,47.6062095
"409",-120.7401385,47.7510741
"410",-95.0949303,29.5074538
"411",18.1750161,40.3515155
"413",-89.2047379,46.1540585
"414",-1.890401,52.486243
"415",-81.5157535,27.6648274
"416",-122.4194155,37.7749295
"417",18.643501,60.128161
"418",-74.0059728,40.7127753
"419",-88.0834059,42.0333607
"420",-84.5120196,39.1031182
"421",-112.0740373,33.4483771
"422",-127.6476205,53.7266683
"424",-75.4414942,40.6518056
"425",-6.2603097,53.3498053
"426",-80.579511,35.4087517
"427",-72.589811,42.1014831
"428",22.9444191,40.6400629
"430",-1.234956,54.574227
"432",-1.4043509,50.9097004
"433",-119.4179324,36.778261
"440",-119.4179324,36.778261
"441",69.345116,30.375321
"443",-95.712891,37.09024
"444",-78.1853751,39.2023039
"445",-122.0321823,37.3229978
"446",-81.1637245,33.836081
"449",-122.7639851,45.3840077
"450",-105.7820674,39.5500507
"451",144.9630576,-37.8136276
"452",-76.6121893,39.2903848
"453",-95.712891,37.09024
"455",149.1300092,-35.2809368
"456",133.775136,-25.274398
"458",-122.3320708,47.6062095
"459",-95.712891,37.09024
"460",-115.1745559,36.1023715
"461",-121.4943996,38.5815719
"462",-87.6297982,41.8781136
"464",-76.7344859,39.9998858
"465",-97.7430608,30.267153
"466",-106.4850217,31.7618778
"467",-111.9260519,33.4941704
"468",-96.8236116,33.1506744
"469",-112.0740373,33.4483771
"471",-122.6764815,45.5230622
"472",-122.6764815,45.5230622
"474",-84.3879824,33.7489954
"475",-75.6971931,45.4215296
"476",-157.8583333,21.3069444
"477",12.4963655,41.9027835
"478",-75.6971931,45.4215296
"479",-71.1211635,42.3317642
"480",-83.9207392,35.9606384
"481",-74.0059728,40.7127753
"484",-87.6297982,41.8781136
"486",-104.990251,39.7392358
"488",-74.0059728,40.7127753
"490",-110.9212146,32.5000731
"491",-113.5087312,53.5407157
"493",-95.712891,37.09024
"494",-79.9223592,-2.1709979
"498",-95.712891,37.09024
"499",-2.58791,51.454513
"500",8.227512,46.818188
"501",-3.7037902,40.4167754
"502",-77.0717376,39.103391
"503",19.5033041,47.162494
"504",24.9383791,60.1698557
"505",-84.3879824,33.7489954
"506",-74.0059728,40.7127753
"510",-80.1300455,25.790654
"511",-111.8910474,40.7607793
"512",-119.7725868,36.7468422
"513",-81.5190053,41.0814447
"514",-88.1342237,41.5291465
"516",-122.6764815,45.5230622
"517",-111.8910474,40.7607793
"518",-117.001189,46.4004089
"519",-118.1667153,34.0033186
"520",-1.5490774,53.8007554
"521",-74.0059728,40.7127753
"522",-118.2436849,34.0522342
"523",-122.2913078,37.8271784
"527",-117.1610838,32.715738
"531",-118.2944355,34.0834617
"532",-73.993877,40.721763
"533",-93.2790862,43.1326518
"534",-74.0029883,40.723301
"536",-82.9987942,39.9611755
"537",-79.3831843,43.653226
"538",-76.2170609,36.7944045
"539",-106.4850217,31.7618778
