"","lon","lat"
"173",-74.6329363,40.5695474
"174",-79.8056661,-3.3259044
"175",-3.435973,55.378051
"176",-2.2426305,53.4807593
"177",-79.727151,-1.9606263
"178",-90.2618068,18.931225
"179",-71.0588801,42.3600825
"180",-70.6692655,-33.4488897
"182",-78.6383128,-1.2726572
"185",-77.0368707,38.9071923
"186",-77.0368707,38.9071923
"187",-70.9170683,-53.1638329
"188",-81.3304953,48.4758208
"189",10.1227651,54.3232927
"190",11.5819805,48.1351253
"191",-74.0059728,40.7127753
"193",-84.3879824,33.7489954
"194",-0.1277583,51.5073509
"195",-0.1277583,51.5073509
"199",-77.4360481,37.5407246
"200",-74.072092,4.7109886
"202",11.02988,50.9847679
"204",4.3517211,50.8503463
"205",10.451526,51.165691
"206",-66.58973,6.42375
"207",8.6949231,50.0294877
"208",91.8932535,25.5787726
"209",13.3612671,38.1156879
"210",9.7320104,52.3758916
"212",-2.58791,51.454513
"213",9.6808449,50.5558095
"214",-2.7877294,54.0103942
"215",9.189982,45.4642035
"216",10.451526,51.165691
"218",-79.9223592,-2.1709979
"219",8.4036527,49.0068901
"220",14.7680961,40.6824408
"222",103.819836,1.352083
"223",-102.552784,23.634501
"224",8.6724335,49.3987524
"225",77.5945627,12.9715987
"226",34.851612,31.046051
"227",8.6186933,53.5915963
"228",-57.575926,-25.2637399
"230",-3.435973,55.378051
"231",-71.0588801,42.3600825
"232",-74.694929,40.774716
"233",-71.1097335,42.3736158
"234",5.4294692,52.1317932
"236",9.501785,56.26392
"237",138.252924,36.204824
"238",-1.2577263,51.7520209
"240",78.96288,20.593684
"241",78.96288,20.593684
"242",77.2090212,28.6139391
"243",-73.939393,41.7979067
"244",-3.188267,55.953252
"245",18.0685808,59.3293235
"248",78.96288,20.593684
"250",-102.4107493,34.2331373
"251",-0.1869644,5.6037168
"252",-71.1097335,42.3736158
"253",-102.552784,23.634501
"254",-79.9223592,-2.1709979
"256",-99.2311361,18.9369695
"257",-79.727151,-1.9606263
"258",7.5885761,47.5595986
"259",-71.542969,-35.675147
"261",-119.2920585,36.3302284
"262",2.2018172,47.900771
"263",-94.146938,36.1227334
"266",-122.2711137,37.8043637
"267",-71.542969,-35.675147
"268",-77.0994102,35.5120593
"269",-70.3125988,-18.4782534
"270",-70.6692655,-33.4488897
"271",-121.7405167,38.5449065
"273",-96.0083018,32.7092955
"274",-63.616672,-38.416097
"275",20.7041995,49.6140437
"276",-71.542969,-35.675147
"279",-70.6692655,-33.4488897
"280",-105.1273817,39.9193013
"281",-70.6692655,-33.4488897
"284",-79.3370188,43.8561002
"287",-79.9223592,-2.1709979
"289",-73.6540892,40.7401244
"290",-80.3895886,-2.6284683
"291",-122.4194155,37.7749295
"292",-121.4943996,38.5815719
"296",-76.9930319,39.0398315
"297",-122.0651819,37.9100783
"298",-2.2380335,51.8642112
"301",-70.6692655,-33.4488897
"303",-71.542969,-35.675147
"304",-79.727151,-1.9606263
"305",7.2673303,50.6778258
"307",-79.892338,-2.247564
"308",4.3517211,50.8503463
"310",-3.74922,40.463667
"311",15.6472914,38.1113006
"312",-97.3393788,38.0320628
"313",-72.9411364,-41.468917
"314",103.846656,46.862496
"316",7.8117261,51.6905221
"319",-75.5017141,5.0656776
"320",153.0251235,-27.4697707
"321",-99.1907364,19.5345279
"322",10.451526,51.165691
"323",-64.6334643,10.2007985
"325",-4.251806,55.864237
"327",-74.6894563,40.2339271
"328",-2.0157863,55.7886682
"329",-84.3879824,33.7489954
"330",-84.2807329,30.4382559
"332",-71.542969,-35.675147
"334",-100.3692475,25.7157044
"336",-77.8136035,-0.9962972
"339",-8.6304976,52.6680204
"341",5.8372264,51.8125626
"342",-77.0947092,38.984652
"344",-76.6121893,39.2903848
"345",-103.3496092,20.6596988
"347",-122.3320708,47.6062095
"348",13.404954,52.5200066
"349",-72.1416132,-41.9197779
"350",-3.17909,51.481581
"351",-68.9293819,-22.4543923
"352",-111.9260519,33.4941704
"353",-79.9223592,-2.1709979
"354",-79.9223592,-2.1709979
"355",9.9936819,53.5510846
"357",-79.3831843,43.653226
"358",-73.722844,40.621995
"359",-6.2603097,53.3498053
"360",-75.1969346,39.8422093
"361",-79.0263645,-1.687199
"362",10.451526,51.165691
"363",-73.9441579,40.6781784
"364",-113.7173037,52.475399
"366",-95.712891,37.09024
"367",9.9936819,53.5510846
"369",53.847818,23.424076
"370",-78.183406,-1.831239
"371",-70.6692655,-33.4488897
"372",4.3517211,50.8503463
"373",-78.4678382,-0.1806532
"375",-78.183406,-1.831239
"377",-81.3792365,28.5383355
"378",2.1734035,41.3850639
"380",-127.6476205,53.7266683
"381",-77.8136035,-0.9962972
"382",-77.8136035,-0.9962972
"383",-77.8081363,-0.9085624
"384",-78.183406,-1.831239
"385",8.570524,54.690909
"386",6.1431577,46.2043907
"387",-70.050314,-27.5660558
"388",-68.9293819,-22.4543923
"389",-66.590149,18.220833
"390",-0.1277583,51.5073509
"391",-82.0131924,39.9403453
"392",6.7734556,51.2277411
"393",4.3517211,50.8503463
"394",-95.971261,36.153315
"396",-75.163389,39.9629406
"397",13.404954,52.5200066
"398",-77.0718248,38.9284816
"400",11.5819805,48.1351253
"403",24.7535747,59.4369608
"404",10.8970001,50.7113006
"405",-4.251806,55.864237
"406",114.109497,22.396428
"407",32.8597419,39.9333635
"408",-75.5260406,45.46989
"410",11.02988,50.9847679
"412",-70.6692655,-33.4488897
"413",11.02988,50.9847679
"414",12.56738,41.87194
"415",12.4963655,41.9027835
"416",-70.6692655,-33.4488897
"417",4.4970097,52.1601144
"418",9.6772698,45.6982642
"420",6.1456907,46.220004
"421",4.3517211,50.8503463
"422",13.7372621,51.0504088
"424",-93.22756,44.962562
"426",12.56738,41.87194
"427",133.775136,-25.274398
"429",12.5154628,41.92639
"430",4.835659,45.764043
"431",4.469936,50.503887
"432",8.8159083,51.7837494
"433",-1.5490774,53.8007554
"435",-3.7037902,40.4167754
"436",4.3517211,50.8503463
"437",10.451526,51.165691
"439",9.501785,56.26392
"440",-73.998217,40.714368
"441",14.7194266,45.1578578
"442",-1.987248,50.71505
"443",12.56738,41.87194
"445",-120.7401385,47.7510741
"446",-96.7265889,17.0731842
"447",4.835659,45.764043
"448",-93.070142,18.1747989
"449",39.2083284,-6.792354
"450",-86.6123152,30.4049019
"452",-104.990251,39.7392358
"454",-71.542969,-35.675147
"456",-71.1097335,42.3736158
"457",-95.712891,37.09024
"458",-43.9352376,-19.9245018
"459",-118.2436849,34.0522342
"460",-79.9223592,-2.1709979
"461",-0.1277583,51.5073509
"462",-96.7265889,17.0731842
"463",-70.6692655,-33.4488897
"464",-79.9223592,-2.1709979
"465",-70.6987361,-33.5854485
"466",-75.6971931,45.4215296
"467",-99.133208,19.4326077
"468",-79.727151,-1.9606263
"469",-71.542969,-35.675147
"472",-77.0368707,38.9071923
"473",-99.9018131,31.9685988
"474",-76.6412712,39.0457549
"476",-79.2112769,-4.0078909
"477",-99.9018131,41.4925374
"478",-4.2026458,56.4906712
"479",-98.7591311,20.1010608
"480",5.876557,48.624147
"481",-99.1797737,18.6134935
"482",-116.419389,34.9592083
"485",-79.2112769,-4.0078909
"486",-1.7348045,4.9597652
"487",-79.2112769,-4.0078909
"488",4.835659,45.764043
"491",-79.9223592,-2.1709979
"492",-106.346771,56.130366
"493",-94.8085435,31.4274044
"494",-111.9151723,41.6444191
"495",-79.3535714,-3.9879753
"496",-98.9548261,18.8126047
"497",-77.1945247,41.2033216
"499",-77.0368707,38.9071923
"500",-1.7348045,4.9597652
"501",4.835659,45.764043
"502",-6.044589,52.9808207
"503",-70.6692655,-33.4488897
"504",-78.2647004,0.3071217
"506",4.3517211,50.8503463
"507",-78.4751945,-0.1464847
"508",-79.9223592,-2.1709979
"509",2.7753408,42.976935
"510",-4.2026458,56.4906712
"511",16.3738189,48.2081743
"512",-80.0656611,-3.5562451
"513",-81.5157535,27.6648274
"514",-74.6049061,40.5939636
"515",-70.1356692,-20.2307033
"516",-78.183406,-1.831239
"518",-102.552784,23.634501
"519",-78.4751945,-0.1464847
"520",-1.4043509,50.9097004
"522",19.699024,48.669026
"523",-99.3811844,20.7386043
"524",174.7691073,-36.8523378
"525",7.6868565,45.070312
"526",-79.391605,0.0091672
"527",-78.183406,-1.831239
"528",-71.2528803,-34.9779853
"529",-86.7816016,36.1626638
"530",-75.1969346,39.8422093
"531",-79.6109049,-3.6873033
"532",-89.3985283,40.6331249
"533",-79.1879383,-0.2521882
"536",-74.0059728,40.7127753
"537",-70.9170683,-53.1638329
"538",-98.6960424,20.0708947
"539",-78.4678382,-0.1806532
"542",9.0128926,42.0396042
"543",9.189982,45.4642035
"544",-99.1013498,18.6813049
"545",-71.542969,-35.675147
"546",-89.4012302,43.0730517
"547",-7.5898434,33.5731104
"548",-75.1969346,39.8422093
"549",-71.542969,-35.675147
"551",-77.285787,1.2058837
"552",-78.183406,-1.831239
"553",-98.1974324,19.0427623
"554",-78.0031057,-1.4882265
"555",-79.9192702,-1.9574839
"556",-102.552784,23.634501
"557",-79.9223592,-2.1709979
"558",-79.8056661,-3.3259044
"559",-77.026088,38.9906657
"561",-80.7089101,-0.9676533
"562",-102.552784,23.634501
"563",-89.436391,-0.8674715
"564",-79.8184684,-3.2368706
"565",-78.4751945,-0.1464847
"567",-98.6960424,20.0708947
"568",-3.7037902,40.4167754
"569",-71.0588801,42.3600825
"571",-122.121512,47.6739881
"572",-0.1277583,51.5073509
"573",-77.0947092,38.984652
